,COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
89,2220,0.048,0.077,0.13699999999999998,0.381,0.35700000000000004
90,2230,0.057999999999999996,0.038,0.11599999999999999,0.435,0.354
91,2240,0.064,0.071,0.14,0.272,0.45299999999999996
92,2261,0.04,0.049,0.052000000000000005,0.19699999999999998,0.6629999999999999
93,2275,0.035,0.11900000000000001,0.16,0.312,0.374
94,2282,0.047,0.012,0.078,0.381,0.48100000000000004
95,2290,0.044000000000000004,0.047,0.126,0.425,0.358
96,4001,0.055,0.063,0.031,0.15,0.701
97,4003,0.053,0.025,0.147,0.19399999999999998,0.581
98,4005,0.039,0.08,0.07,0.11,0.7020000000000001
99,4007,0.073,0.013999999999999999,0.03,0.336,0.547
100,4009,0.095,0.067,0.237,0.049,0.5529999999999999
101,4011,0.111,0.08900000000000001,0.16699999999999998,0.08900000000000001,0.544
102,4012,0.031,0.064,0.162,0.17300000000000001,0.57
103,4013,0.023,0.025,0.059000000000000004,0.158,0.7340000000000001
104,4015,0.051,0.096,0.10400000000000001,0.16399999999999998,0.585
105,4017,0.091,0.10800000000000001,0.059000000000000004,0.139,0.602
106,4019,0.023,0.024,0.073,0.121,0.759
107,4021,0.033,0.055,0.096,0.14800000000000002,0.667
108,4023,0.027999999999999997,0.002,0.057999999999999996,0.07400000000000001,0.8370000000000001
109,4025,0.031,0.073,0.081,0.17600000000000002,0.639
110,4027,0.008,0.013000000000000001,0.046,0.129,0.804
111,5001,0.019,0.073,0.134,0.21600000000000003,0.557
112,5003,0.023,0.10300000000000001,0.163,0.11699999999999999,0.595
113,5005,0.15,0.10400000000000001,0.10800000000000001,0.10400000000000001,0.534
114,5007,0.081,0.034,0.083,0.16,0.643
115,5009,0.129,0.145,0.122,0.18899999999999997,0.41600000000000004
116,5011,0.094,0.102,0.175,0.184,0.445
117,5013,0.145,0.132,0.10800000000000001,0.21100000000000002,0.40399999999999997
118,5015,0.111,0.068,0.115,0.129,0.5770000000000001
119,5017,0.10400000000000001,0.07400000000000001,0.193,0.09699999999999999,0.531
120,5019,0.08,0.091,0.08,0.231,0.518
121,5021,0.08199999999999999,0.124,0.157,0.242,0.395
122,5023,0.036000000000000004,0.065,0.09300000000000001,0.259,0.546
123,5025,0.107,0.03,0.16,0.231,0.47200000000000003
124,5027,0.24100000000000002,0.07200000000000001,0.054000000000000006,0.25,0.38299999999999995
125,5029,0.071,0.12,0.13699999999999998,0.34700000000000003,0.325
126,5031,0.078,0.12300000000000001,0.138,0.341,0.32
127,5033,0.155,0.1,0.16699999999999998,0.21100000000000002,0.36700000000000005
128,5035,0.059000000000000004,0.017,0.11,0.306,0.508
129,5037,0.09699999999999999,0.017,0.163,0.319,0.40399999999999997
130,5039,0.19699999999999998,0.055,0.09300000000000001,0.196,0.45899999999999996
131,5041,0.078,0.033,0.19,0.18899999999999997,0.509
132,5043,0.063,0.049,0.207,0.159,0.523
133,5045,0.066,0.027000000000000003,0.077,0.40299999999999997,0.426
134,5047,0.149,0.079,0.245,0.187,0.34
135,5049,0.105,0.121,0.226,0.19699999999999998,0.35100000000000003
136,5051,0.025,0.102,0.068,0.21,0.596
137,5053,0.08199999999999999,0.043,0.127,0.258,0.489
138,5055,0.062,0.141,0.154,0.34600000000000003,0.297
139,5057,0.098,0.073,0.096,0.179,0.5539999999999999
140,5059,0.059000000000000004,0.086,0.079,0.21600000000000003,0.56
141,5061,0.081,0.07,0.145,0.145,0.56
142,5063,0.13699999999999998,0.156,0.08800000000000001,0.179,0.44
143,5065,0.086,0.121,0.133,0.23,0.43
144,5067,0.11599999999999999,0.10300000000000001,0.135,0.179,0.46799999999999997
145,5069,0.042,0.036000000000000004,0.172,0.17300000000000001,0.5770000000000001
146,5071,0.14400000000000002,0.10300000000000001,0.205,0.221,0.32799999999999996
147,5073,0.12,0.08199999999999999,0.078,0.23399999999999999,0.486
148,5075,0.085,0.128,0.153,0.298,0.337
149,5077,0.10300000000000001,0.032,0.195,0.263,0.40700000000000003
150,5079,0.035,0.016,0.19399999999999998,0.201,0.5539999999999999
151,5081,0.07400000000000001,0.121,0.106,0.201,0.499
152,5083,0.14800000000000002,0.11,0.12,0.14300000000000002,0.479
153,5085,0.048,0.045,0.136,0.297,0.474
154,5087,0.075,0.08800000000000001,0.159,0.114,0.564
155,5089,0.171,0.11199999999999999,0.11900000000000001,0.10800000000000001,0.49
