month,party,unemployment_rate,cases_avg_per_100k,correlation,unemployment_color,covid_color
2020-01,DEMOCRAT,4.517333333333336,0.02666666666666667,-0.3660776254131146,unemployment rate,average Covid cases per 100k
2020-01,REPUBLICAN,4.496777950310542,,,unemployment rate,average Covid cases per 100k
2020-02,DEMOCRAT,4.257142857142864,0.3223809523809524,0.19801312469938515,unemployment rate,average Covid cases per 100k
2020-02,REPUBLICAN,4.2765139751552725,0.66,,unemployment rate,average Covid cases per 100k
2020-03,DEMOCRAT,4.89847619047619,31.208498942917554,-0.05154843774474111,unemployment rate,average Covid cases per 100k
2020-03,REPUBLICAN,4.848369565217395,12.394332925336569,-0.036344960196267095,unemployment rate,average Covid cases per 100k
2020-04,DEMOCRAT,14.138095238095238,242.09903732809437,0.05956803183322609,unemployment rate,average Covid cases per 100k
2020-04,REPUBLICAN,11.991537267080725,116.27809877622397,-0.02236897208790395,unemployment rate,average Covid cases per 100k
2020-05,DEMOCRAT,12.742666666666672,264.7590272373541,-0.006372756989006107,unemployment rate,average Covid cases per 100k
2020-05,REPUBLICAN,9.617663043478256,167.80948261589393,-0.09259718408179717,unemployment rate,average Covid cases per 100k
2020-06,DEMOCRAT,11.260380952380954,294.44830443159884,0.09581065461223776,unemployment rate,average Covid cases per 100k
2020-06,REPUBLICAN,7.957298136645967,183.63156074014472,-0.004381349894119349,unemployment rate,average Covid cases per 100k
2020-07,DEMOCRAT,10.533142857142847,557.9623224568132,0.2711662192184763,unemployment rate,average Covid cases per 100k
2020-07,REPUBLICAN,7.398330745341604,429.3540172616717,0.15383425962820693,unemployment rate,average Covid cases per 100k
2020-08,DEMOCRAT,8.658666666666665,555.0184261036468,0.16420728857213773,unemployment rate,average Covid cases per 100k
2020-08,REPUBLICAN,5.996156832298138,496.92404761904805,0.015485971113973747,unemployment rate,average Covid cases per 100k
2020-09,DEMOCRAT,7.842857142857139,427.34374280230287,-0.008642080256940042,unemployment rate,average Covid cases per 100k
2020-09,REPUBLICAN,5.483462732919258,521.5616815881676,-0.17122525510856015,unemployment rate,average Covid cases per 100k
2020-10,DEMOCRAT,6.854476190476192,580.664088291746,-0.07096695865509813,unemployment rate,average Covid cases per 100k
2020-10,REPUBLICAN,4.802833850931673,910.5995141857748,-0.3013269438866788,unemployment rate,average Covid cases per 100k
2020-11,DEMOCRAT,6.803619047619044,1229.6310172744725,-0.12141975283758605,unemployment rate,average Covid cases per 100k
2020-11,REPUBLICAN,4.881948757763979,1902.2158873786416,-0.3554151754186396,unemployment rate,average Covid cases per 100k
2020-12,DEMOCRAT,7.003238095238092,1649.5366410748572,0.12137589208844492,unemployment rate,average Covid cases per 100k
2020-12,REPUBLICAN,5.258695652173918,2038.424699029124,-0.0690479958175247,unemployment rate,average Covid cases per 100k
2021-01,DEMOCRAT,7.2739047619047685,1767.191017274474,0.2523333860533522,unemployment rate,average Covid cases per 100k
2021-01,REPUBLICAN,5.629309006211177,1759.643293203882,0.07246782316416413,unemployment rate,average Covid cases per 100k
2021-02,DEMOCRAT,6.957523809523804,792.9761612284071,0.12437711943448752,unemployment rate,average Covid cases per 100k
2021-02,REPUBLICAN,5.516537267080749,727.8324893203887,0.030716603445496263,unemployment rate,average Covid cases per 100k
2021-03,DEMOCRAT,6.535809523809517,520.6796353166986,0.013892937411249903,unemployment rate,average Covid cases per 100k
2021-03,REPUBLICAN,5.125349378881989,442.8285398058242,0.035602298518820595,unemployment rate,average Covid cases per 100k
2021-04,DEMOCRAT,6.06361904761905,529.4330326295584,-0.1008536376850281,unemployment rate,average Covid cases per 100k
2021-04,REPUBLICAN,4.505046583850927,426.34629514563,0.17901695446759003,unemployment rate,average Covid cases per 100k
2021-05,DEMOCRAT,5.840761904761905,309.53928982725546,-0.03681356007934796,unemployment rate,average Covid cases per 100k
2021-05,REPUBLICAN,4.364479813664603,307.64943689320415,0.20803066810041557,unemployment rate,average Covid cases per 100k
2021-06,DEMOCRAT,6.512380952380953,121.59262955854126,0.06416624894487392,unemployment rate,average Covid cases per 100k
2021-06,REPUBLICAN,5.031638198757777,150.0756038834953,0.11979593826215383,unemployment rate,average Covid cases per 100k
2021-07,DEMOCRAT,6.013904761904761,273.2253742802302,0.17973323524803037,unemployment rate,average Covid cases per 100k
2021-07,REPUBLICAN,4.476970873786408,338.7080808080814,0.08524862916651747,unemployment rate,average Covid cases per 100k
