COUNTYFP,unemployment_rate,cases_avg_per_100k,deaths_avg_per_100k,party,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
1117,4.4,1324.1699999999998,15.889999999999999,REPUBLICAN,0.022,0.075,0.118,0.24,0.545
1119,7.485714285714286,2899.82,137.77999999999997,DEMOCRAT,0.055,0.068,0.118,0.197,0.562
1121,7.9142857142857155,1112.52,14.010000000000002,REPUBLICAN,0.113,0.15,0.208,0.169,0.361
1123,7.628571428571428,2057.15,195.60999999999999,REPUBLICAN,0.067,0.095,0.136,0.296,0.406
1125,7.3999999999999995,1782.7699999999998,29.749999999999993,REPUBLICAN,0.041,0.036,0.144,0.247,0.532
1127,6.485714285714287,2258.5999999999995,94.05999999999996,REPUBLICAN,0.09,0.081,0.145,0.256,0.429
1129,8.471428571428572,1781.3700000000001,69.91999999999997,REPUBLICAN,0.018,0.077,0.102,0.307,0.495
1131,14.385714285714284,3890.5300000000007,98.53000000000002,DEMOCRAT,0.061,0.098,0.199,0.187,0.455
1133,5.3,1712.1399999999999,46.56,REPUBLICAN,0.13,0.046,0.328,0.183,0.312
2013,4.6571428571428575,89.88000000000001,0.0,REPUBLICAN,0.067,0.032,0.034,0.316,0.551
2016,5.571428571428572,1568.3599999999994,0.0,DEMOCRAT,0.078,0.031,0.03,0.337,0.524
2020,8.314285714285713,546.8,3.3000000000000003,DEMOCRAT,0.042,0.05,0.049,0.196,0.663
2050,12.685714285714287,110.31,0.0,,0.101,0.022,0.014,0.45,0.413
2060,10.5,0.0,0.0,,0.048,0.037,0.042,0.308,0.564
2068,19.45714285714286,183.87,0.0,,0.062,0.081,0.067,0.225,0.565
2070,9.114285714285714,453.38000000000005,0.0,,0.072,0.025,0.027,0.391,0.484
2090,7.4,424.9700000000001,4.789999999999999,,0.094,0.084,0.175,0.234,0.413
2100,18.557142857142857,316.33000000000004,0.0,,0.055,0.05,0.123,0.419,0.352
2105,15.814285714285713,0.0,0.0,,0.051,0.064,0.13,0.399,0.356
2110,7.6571428571428575,394.4800000000001,6.23,,0.051,0.067,0.133,0.396,0.353
2122,10.328571428571431,665.0400000000001,1.68,,0.043,0.047,0.051,0.197,0.662
2130,11.085714285714285,332.07,0.0,,0.025,0.149,0.174,0.256,0.396
2150,6.728571428571429,110.00000000000004,0.0,,0.042,0.043,0.049,0.233,0.633
2158,23.22857142857143,44.719999999999985,0.0,,0.103,0.022,0.007,0.521,0.347
2164,11.214285714285714,0.0,0.0,,0.055,0.036,0.04,0.299,0.571
2170,9.714285714285714,231.4,1.82,,0.042,0.051,0.048,0.198,0.66
2180,12.200000000000001,200.05000000000007,0.0,,0.086,0.061,0.009,0.544,0.3
2185,6.185714285714286,126.42,0.0,,0.036,0.059,0.235,0.215,0.455
2188,13.942857142857141,264.2300000000001,0.0,,0.035,0.188,0.051,0.474,0.252
2195,10.385714285714286,275.41,0.0,,0.042,0.095,0.148,0.349,0.365
2198,10.928571428571429,137.36999999999998,0.0,,0.033,0.125,0.161,0.3,0.38
2220,8.228571428571428,367.79,0.0,,0.048,0.077,0.137,0.381,0.357
2230,24.87142857142857,0.0,0.0,,0.058,0.038,0.116,0.435,0.354
2240,8.571428571428571,399.91999999999996,0.0,,0.064,0.071,0.14,0.272,0.453
2261,10.642857142857142,900.3299999999999,0.0,,0.04,0.049,0.052,0.197,0.663
2275,9.799999999999999,319.76,0.0,,0.035,0.119,0.16,0.312,0.374
2282,9.799999999999999,0.0,0.0,,0.047,0.012,0.078,0.381,0.481
2290,14.785714285714286,808.4499999999999,13.65,,0.044,0.047,0.126,0.425,0.358
4001,14.042857142857143,4149.1,178.65999999999997,DEMOCRAT,0.055,0.063,0.031,0.15,0.701
4003,8.028571428571428,1137.7600000000002,38.95999999999998,REPUBLICAN,0.053,0.025,0.147,0.194,0.581
4005,11.057142857142855,2070.0699999999997,79.53999999999999,DEMOCRAT,0.039,0.08,0.07,0.11,0.702
4007,8.571428571428573,1447.8299999999997,44.03999999999999,REPUBLICAN,0.073,0.014,0.03,0.336,0.547
4009,7.042857142857143,1141.7000000000003,17.37,REPUBLICAN,0.095,0.067,0.237,0.049,0.553
4011,5.585714285714286,660.4,21.0,REPUBLICAN,0.111,0.089,0.167,0.089,0.544
4012,7.8,2336.1500000000005,44.709999999999994,REPUBLICAN,0.031,0.064,0.162,0.173,0.57
4013,8.12857142857143,2492.7799999999997,44.46,DEMOCRAT,0.023,0.025,0.059,0.158,0.734
4015,11.485714285714286,1331.8799999999999,66.74000000000002,REPUBLICAN,0.051,0.096,0.104,0.164,0.585
4017,11.4,4613.960000000001,164.97,REPUBLICAN,0.091,0.108,0.059,0.139,0.602
4019,8.528571428571428,1470.63,43.94,DEMOCRAT,0.023,0.024,0.073,0.121,0.759
4021,8.4,1689.2099999999998,28.090000000000007,REPUBLICAN,0.033,0.055,0.096,0.148,0.667
