COUNTYFP,unemployment_rate,cases_avg_per_100k,deaths_avg_per_100k,party,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
18011,4.985714285714287,935.3700000000001,70.84000000000002,REPUBLICAN,0.052,0.085,0.142,0.308,0.413
18013,8.057142857142857,442.4600000000001,6.65,REPUBLICAN,0.055,0.061,0.041,0.184,0.66
18015,7.657142857142857,648.62,21.33,REPUBLICAN,0.059,0.104,0.17,0.22,0.447
18017,8.314285714285713,4649.500000000001,29.979999999999997,REPUBLICAN,0.037,0.192,0.283,0.206,0.283
18019,8.514285714285714,822.7700000000001,45.31999999999999,REPUBLICAN,0.068,0.06,0.141,0.228,0.501
18021,7.6,359.48,18.949999999999996,REPUBLICAN,0.122,0.073,0.112,0.226,0.466
18023,6.785714285714286,1059.51,12.320000000000004,REPUBLICAN,0.088,0.033,0.132,0.285,0.462
18025,8.5,398.77,9.45,REPUBLICAN,0.067,0.089,0.118,0.261,0.465
18027,4.485714285714286,657.29,72.41,REPUBLICAN,0.049,0.061,0.13,0.214,0.546
18029,8.4,871.5500000000001,59.35999999999999,REPUBLICAN,0.083,0.1,0.168,0.277,0.371
18031,9.828571428571427,1173.27,131.84,REPUBLICAN,0.175,0.083,0.101,0.204,0.437
18033,8.757142857142858,474.02,11.55,REPUBLICAN,0.109,0.074,0.118,0.149,0.55
18035,8.542857142857143,516.34,46.599999999999994,REPUBLICAN,0.095,0.109,0.124,0.197,0.475
18037,5.142857142857143,1336.9000000000003,23.94,REPUBLICAN,0.01,0.105,0.086,0.25,0.55
18039,9.900000000000002,2177.95,37.75000000000001,REPUBLICAN,0.03,0.097,0.094,0.252,0.528
18041,11.714285714285717,873.2199999999998,30.379999999999992,REPUBLICAN,0.161,0.041,0.048,0.237,0.514
18043,7.771428571428571,799.9200000000001,61.230000000000004,REPUBLICAN,0.053,0.086,0.154,0.233,0.474
18045,8.4,369.81000000000006,12.179999999999996,REPUBLICAN,0.077,0.089,0.147,0.212,0.474
18047,7.4,848.18,45.24,REPUBLICAN,0.07,0.082,0.104,0.199,0.545
18049,7.885714285714286,625.5000000000001,10.74,REPUBLICAN,0.142,0.114,0.128,0.217,0.399
18051,7.914285714285714,555.4000000000001,7.1899999999999995,REPUBLICAN,0.09,0.1,0.204,0.255,0.351
18053,7.414285714285714,1039.79,48.609999999999985,REPUBLICAN,0.053,0.108,0.133,0.311,0.393
18055,7.242857142857143,748.5899999999999,120.85000000000001,REPUBLICAN,0.099,0.027,0.081,0.235,0.558
18057,5.3999999999999995,700.96,34.010000000000005,REPUBLICAN,0.07,0.051,0.049,0.234,0.596
18059,6.685714285714285,828.25,51.66000000000001,REPUBLICAN,0.068,0.04,0.166,0.306,0.42
18061,7.685714285714285,691.8099999999997,59.25000000000001,REPUBLICAN,0.094,0.084,0.205,0.258,0.359
18063,5.799999999999999,992.7399999999999,75.96000000000001,REPUBLICAN,0.054,0.052,0.113,0.257,0.523
18065,7.92857142857143,790.89,37.64,REPUBLICAN,0.183,0.148,0.125,0.111,0.434
18067,13.042857142857143,951.3900000000001,79.80999999999999,REPUBLICAN,0.008,0.083,0.183,0.301,0.426
18069,8.4,369.49000000000007,7.800000000000001,REPUBLICAN,0.15,0.182,0.053,0.199,0.416
18071,9.285714285714286,1238.8900000000003,11.2,REPUBLICAN,0.097,0.098,0.105,0.388,0.312
18073,8.628571428571428,700.03,6.0200000000000005,REPUBLICAN,0.186,0.1,0.065,0.328,0.321
18075,8.514285714285714,405.8699999999999,0.0,REPUBLICAN,0.141,0.139,0.157,0.235,0.328
18077,9.27142857142857,474.83,6.16,REPUBLICAN,0.083,0.219,0.218,0.225,0.255
18079,9.457142857142857,735.49,55.31999999999999,REPUBLICAN,0.095,0.105,0.172,0.308,0.319
18081,6.642857142857143,1015.33,84.52,REPUBLICAN,0.057,0.094,0.1,0.192,0.557
18083,7.257142857142857,325.09,0.0,REPUBLICAN,0.158,0.125,0.121,0.259,0.338
18085,7.3,999.4399999999998,14.939999999999996,REPUBLICAN,0.073,0.147,0.089,0.195,0.496
18087,9.114285714285716,1343.9399999999998,28.08,REPUBLICAN,0.059,0.082,0.171,0.236,0.452
18089,11.62857142857143,1403.54,59.71999999999999,DEMOCRAT,0.043,0.057,0.088,0.219,0.592
18091,10.9,723.4899999999999,27.859999999999992,REPUBLICAN,0.084,0.075,0.168,0.206,0.466
18093,8.200000000000001,689.8100000000001,64.99999999999997,REPUBLICAN,0.092,0.117,0.109,0.191,0.491
18095,9.185714285714285,618.89,60.01,REPUBLICAN,0.062,0.084,0.15,0.145,0.559
18097,8.342857142857143,1468.45,78.95,DEMOCRAT,0.051,0.053,0.116,0.232,0.548
18099,7.857142857142857,1611.66,43.27000000000001,REPUBLICAN,0.12,0.103,0.159,0.229,0.389
18101,4.7,460.65999999999997,0.0,REPUBLICAN,0.041,0.064,0.123,0.223,0.55
18103,9.885714285714286,737.34,5.6,REPUBLICAN,0.054,0.125,0.253,0.226,0.343
18105,6.328571428571429,426.47999999999996,22.739999999999995,DEMOCRAT,0.037,0.037,0.094,0.242,0.591
18107,6.085714285714286,870.3399999999998,65.15,REPUBLICAN,0.07,0.116,0.168,0.156,0.49
18109,6.3,632.41,54.33000000000001,REPUBLICAN,0.06,0.131,0.136,0.188,0.485
18111,8.5,794.9200000000002,78.6,REPUBLICAN,0.102,0.153,0.092,0.338,0.316
18113,10.828571428571431,1318.6299999999999,64.71000000000001,REPUBLICAN,0.057,0.11,0.135,0.197,0.5
18115,9.085714285714285,656.4300000000001,48.6,REPUBLICAN,0.06,0.078,0.18,0.223,0.459
18117,13.714285714285714,902.19,132.34000000000003,REPUBLICAN,0.096,0.086,0.073,0.315,0.43
18119,7.271428571428571,375.90999999999997,4.83,REPUBLICAN,0.094,0.038,0.087,0.282,0.5
18121,6.542857142857143,353.56,1.68,REPUBLICAN,0.116,0.111,0.174,0.195,0.405
18123,7.8999999999999995,1067.79,67.94999999999999,REPUBLICAN,0.01,0.109,0.087,0.252,0.542
18125,7.114285714285714,241.75999999999993,0.0,REPUBLICAN,0.052,0.089,0.163,0.2,0.495
18127,9.642857142857144,638.39,23.71,REPUBLICAN,0.05,0.1,0.108,0.231,0.512
18129,5.885714285714285,580.6600000000003,0.0,REPUBLICAN,0.132,0.056,0.115,0.226,0.472
18131,7.314285714285714,661.62,8.12,REPUBLICAN,0.135,0.219,0.171,0.253,0.223
18133,7.428571428571429,604.3699999999999,25.090000000000003,REPUBLICAN,0.075,0.162,0.204,0.194,0.366
18135,7.885714285714285,531.8499999999999,16.24,REPUBLICAN,0.128,0.13,0.228,0.179,0.336
18137,7.92857142857143,785.8,28.669999999999998,REPUBLICAN,0.054,0.074,0.15,0.294,0.429
18139,7.7857142857142865,769.3000000000001,24.080000000000002,REPUBLICAN,0.133,0.118,0.063,0.279,0.408
18141,9.62857142857143,1060.5700000000002,30.25,DEMOCRAT,0.031,0.04,0.102,0.228,0.598
18143,10.128571428571428,1013.1200000000001,46.14000000000001,REPUBLICAN,0.036,0.073,0.168,0.263,0.46
18145,8.828571428571427,1798.49,76.78000000000003,REPUBLICAN,0.16,0.057,0.177,0.193,0.413
18147,6.671428571428572,536.77,9.120000000000001,REPUBLICAN,0.017,0.134,0.104,0.216,0.529
18149,9.614285714285714,675.6699999999998,27.279999999999998,REPUBLICAN,0.177,0.151,0.088,0.219,0.365
18151,7.985714285714285,576.8199999999999,8.61,REPUBLICAN,0.04,0.089,0.17,0.169,0.532
18153,8.242857142857142,360.4,4.83,REPUBLICAN,0.127,0.071,0.077,0.207,0.517
18155,9.857142857142856,440.64000000000004,0.0,REPUBLICAN,0.089,0.125,0.209,0.234,0.344
18157,7.357142857142857,513.2399999999999,5.98,DEMOCRAT,0.093,0.083,0.102,0.204,0.518
18159,7.957142857142856,573.86,29.169999999999995,REPUBLICAN,0.033,0.082,0.089,0.444,0.352
18161,6.928571428571429,711.7099999999999,0.0,REPUBLICAN,0.095,0.053,0.106,0.178,0.569
18163,8.285714285714286,838.4100000000001,5.640000000000001,REPUBLICAN,0.07,0.039,0.115,0.234,0.542
18165,9.057142857142857,161.18000000000006,0.0,REPUBLICAN,0.113,0.105,0.134,0.223,0.426
18167,9.028571428571428,388.60999999999996,10.689999999999998,REPUBLICAN,0.118,0.064,0.102,0.25,0.466
18169,7.328571428571428,482.54,9.66,REPUBLICAN,0.07,0.11,0.237,0.202,0.381
18171,6.571428571428572,255.93999999999997,12.110000000000001,REPUBLICAN,0.079,0.115,0.092,0.223,0.492
18173,6.614285714285715,720.3500000000001,49.15999999999998,REPUBLICAN,0.045,0.038,0.117,0.252,0.548
18175,8.485714285714286,365.94,3.5699999999999994,REPUBLICAN,0.097,0.074,0.062,0.356,0.411
18177,7.700000000000001,806.3800000000001,13.550000000000002,REPUBLICAN,0.162,0.09,0.138,0.261,0.348
18179,7.1000000000000005,477.95000000000005,5.5,REPUBLICAN,0.205,0.05,0.077,0.337,0.332
18181,6.071428571428571,1454.17,41.43000000000001,REPUBLICAN,0.056,0.177,0.194,0.189,0.384
18183,7.499999999999999,449.98,17.64,REPUBLICAN,0.061,0.186,0.132,0.16,0.46
19001,4.8428571428571425,351.12,0.0,REPUBLICAN,0.073,0.128,0.128,0.307,0.364
19003,4.228571428571429,411.18000000000006,0.0,REPUBLICAN,0.148,0.11,0.15,0.311,0.281
19005,6.257142857142858,1148.78,29.18,REPUBLICAN,0.138,0.049,0.132,0.212,0.469
19007,6.171428571428571,322.1599999999999,24.150000000000002,REPUBLICAN,0.044,0.11,0.239,0.193,0.413
19009,4.000000000000001,604.8999999999999,18.2,REPUBLICAN,0.224,0.073,0.194,0.187,0.322
19011,5.857142857142856,486.71999999999997,3.9200000000000004,REPUBLICAN,0.098,0.067,0.13,0.2,0.504
19013,7.1571428571428575,2208.66,47.18,DEMOCRAT,0.032,0.053,0.18,0.289,0.447
19015,4.814285714285715,875.0699999999999,5.4,REPUBLICAN,0.09,0.08,0.1,0.197,0.533
19017,4.8428571428571425,695.93,27.93,REPUBLICAN,0.048,0.062,0.197,0.268,0.424
19019,5.3,488.56999999999994,4.69,REPUBLICAN,0.021,0.124,0.087,0.394,0.373
19021,4.114285714285715,9180.96,61.179999999999964,REPUBLICAN,0.183,0.062,0.26,0.207,0.288
19023,5.714285714285714,718.61,13.860000000000001,REPUBLICAN,0.052,0.094,0.208,0.23,0.417
19025,4.757142857142858,832.4799999999998,20.72,REPUBLICAN,0.212,0.117,0.213,0.153,0.304
19027,4.685714285714286,881.7099999999999,4.97,REPUBLICAN,0.153,0.11,0.241,0.139,0.358
19029,4.585714285714286,317.11999999999995,1.11,REPUBLICAN,0.341,0.07,0.124,0.238,0.227
19031,5.1571428571428575,644.8199999999999,5.390000000000001,REPUBLICAN,0.026,0.096,0.142,0.355,0.381
19033,6.042857142857143,1319.15,38.740000000000016,REPUBLICAN,0.061,0.365,0.146,0.213,0.215
19035,4.528571428571429,872.2500000000001,8.889999999999999,REPUBLICAN,0.183,0.105,0.221,0.182,0.309
19037,5.742857142857142,462.54,0.0,REPUBLICAN,0.075,0.136,0.197,0.236,0.356
19039,6.5,1796.05,31.919999999999995,REPUBLICAN,0.078,0.167,0.143,0.194,0.418
19041,5.442857142857142,1048.7800000000004,6.2299999999999995,REPUBLICAN,0.224,0.035,0.112,0.189,0.441
19043,7.014285714285714,555.35,17.020000000000003,REPUBLICAN,0.123,0.084,0.137,0.284,0.371
19045,7.728571428571429,560.96,4.65,REPUBLICAN,0.092,0.13,0.079,0.269,0.43
19047,6.042857142857143,4231.41,17.849999999999998,REPUBLICAN,0.089,0.045,0.141,0.064,0.66
19049,4.257142857142857,1849.7700000000002,38.31,REPUBLICAN,0.036,0.102,0.118,0.26,0.485
19051,4.557142857142857,538.0399999999998,11.13,REPUBLICAN,0.038,0.101,0.249,0.201,0.411
19053,4.757142857142857,269.97,0.0,REPUBLICAN,0.248,0.132,0.258,0.068,0.294
19055,4.785714285714286,545.19,11.76,REPUBLICAN,0.035,0.137,0.137,0.408,0.283
19057,8.757142857142858,424.01000000000005,8.07,REPUBLICAN,0.135,0.081,0.109,0.122,0.553
19059,6.328571428571428,2135.1799999999994,23.24,REPUBLICAN,0.276,0.027,0.091,0.173,0.433
19061,6.914285714285714,1459.3,27.630000000000006,REPUBLICAN,0.037,0.155,0.189,0.189,0.43
19063,5.885714285714285,1721.0600000000002,10.850000000000001,REPUBLICAN,0.241,0.083,0.067,0.181,0.428
19065,6.528571428571429,418.4799999999999,0.0,REPUBLICAN,0.054,0.075,0.128,0.349,0.394
19067,7.128571428571428,691.19,12.74,REPUBLICAN,0.063,0.271,0.148,0.25,0.268
19069,4.371428571428571,1977.1100000000004,34.08,REPUBLICAN,0.088,0.278,0.187,0.186,0.261
19071,3.6142857142857143,428.98999999999995,0.0,REPUBLICAN,0.048,0.061,0.071,0.209,0.611
19073,5.0857142857142845,462.64,0.0,REPUBLICAN,0.116,0.141,0.235,0.153,0.354
19075,5.214285714285714,694.7600000000002,8.19,REPUBLICAN,0.038,0.042,0.203,0.238,0.48
19077,5.957142857142857,1136.01,46.83,REPUBLICAN,0.162,0.073,0.143,0.283,0.34
19079,5.1571428571428575,1591.9199999999998,6.789999999999999,REPUBLICAN,0.143,0.118,0.129,0.153,0.457
19081,5.628571428571429,1094.2800000000002,18.76,REPUBLICAN,0.08,0.384,0.146,0.174,0.216
19083,5.42857142857143,915.0800000000002,0.0,REPUBLICAN,0.074,0.075,0.195,0.214,0.441
19085,4.728571428571428,626.74,0.0,REPUBLICAN,0.118,0.044,0.094,0.178,0.565
19087,6.3,560.1700000000001,15.12,REPUBLICAN,0.123,0.142,0.091,0.183,0.461
19089,5.357142857142857,590.72,0.0,REPUBLICAN,0.077,0.151,0.176,0.183,0.413
19091,5.157142857142857,919.9499999999999,10.43,REPUBLICAN,0.243,0.268,0.147,0.102,0.24
19093,4.071428571428571,478.84000000000003,0.0,REPUBLICAN,0.153,0.094,0.246,0.128,0.38
19095,5.357142857142857,573.0000000000001,6.16,REPUBLICAN,0.027,0.149,0.135,0.239,0.45
19097,7.114285714285714,665.5,2.19,REPUBLICAN,0.032,0.096,0.229,0.232,0.411
19099,6.171428571428571,1212.4099999999999,62.6,REPUBLICAN,0.102,0.105,0.233,0.212,0.347
19101,6.557142857142857,449.6700000000001,0.0,REPUBLICAN,0.074,0.116,0.221,0.191,0.398
19103,5.385714285714285,1200.4799999999998,9.470000000000002,DEMOCRAT,0.014,0.044,0.069,0.2,0.673
19105,6.842857142857143,546.94,4.83,REPUBLICAN,0.04,0.105,0.165,0.336,0.355
19107,5.871428571428571,406.06000000000006,9.73,REPUBLICAN,0.035,0.126,0.287,0.28,0.272
19109,4.6000000000000005,584.6400000000001,0.0,REPUBLICAN,0.135,0.318,0.101,0.173,0.272
19111,7.500000000000001,262.65,6.3,REPUBLICAN,0.17,0.146,0.131,0.161,0.392
19113,7.042857142857143,835.6700000000001,38.38,DEMOCRAT,0.039,0.081,0.115,0.201,0.563
19115,5.957142857142858,3499.23,122.89999999999998,REPUBLICAN,0.097,0.058,0.15,0.214,0.482
19117,4.214285714285714,507.3499999999999,46.47999999999998,REPUBLICAN,0.032,0.204,0.196,0.185,0.384
19119,2.985714285714286,805.27,0.0,REPUBLICAN,0.078,0.173,0.157,0.247,0.344
19121,6.942857142857143,569.6900000000003,12.18,REPUBLICAN,0.01,0.102,0.136,0.268,0.484
19123,5.6571428571428575,610.7600000000001,77.03999999999998,REPUBLICAN,0.069,0.067,0.294,0.283,0.287
19125,5.085714285714286,441.32,0.0,REPUBLICAN,0.053,0.049,0.209,0.26,0.429
19127,8.185714285714285,3393.7499999999995,59.2,REPUBLICAN,0.077,0.064,0.153,0.226,0.48
19129,4.628571428571428,522.3100000000001,0.0,REPUBLICAN,0.064,0.084,0.091,0.281,0.481
19131,4.0,811.2300000000001,0.0,REPUBLICAN,0.046,0.282,0.149,0.26,0.263
19133,5.742857142857142,1018.1099999999997,0.0,REPUBLICAN,0.078,0.069,0.087,0.127,0.64
19135,6.057142857142857,938.2600000000001,90.76,REPUBLICAN,0.034,0.078,0.256,0.247,0.385
19137,5.3,451.0499999999999,23.04,REPUBLICAN,0.218,0.034,0.084,0.378,0.286
19139,6.871428571428573,1860.68,108.58000000000003,REPUBLICAN,0.12,0.022,0.221,0.273,0.364
19141,3.9,901.0999999999999,7.28,REPUBLICAN,0.173,0.054,0.267,0.187,0.319
19143,3.4428571428571426,1393.9199999999996,0.0,REPUBLICAN,0.195,0.051,0.233,0.199,0.322
19145,5.92857142857143,404.06,0.0,REPUBLICAN,0.088,0.053,0.068,0.31,0.481
19147,5.528571428571429,804.71,0.0,REPUBLICAN,0.199,0.116,0.088,0.179,0.419
19149,4.2,1705.2600000000002,30.04999999999999,REPUBLICAN,0.125,0.145,0.166,0.162,0.402
19151,3.9857142857142853,1736.18,15.120000000000001,REPUBLICAN,0.214,0.124,0.162,0.165,0.335
19153,6.928571428571429,1877.8300000000002,39.779999999999994,DEMOCRAT,0.044,0.089,0.136,0.259,0.473
19155,6.142857142857143,1193.6899999999998,20.930000000000003,REPUBLICAN,0.115,0.083,0.147,0.264,0.39
19157,5.9142857142857155,741.4000000000001,43.25,REPUBLICAN,0.121,0.145,0.187,0.164,0.383
19159,4.757142857142858,460.88000000000005,20.439999999999998,REPUBLICAN,0.144,0.138,0.281,0.162,0.275
19161,4.171428571428572,821.5899999999999,0.0,REPUBLICAN,0.18,0.071,0.286,0.159,0.303
19163,7.7285714285714295,874.5899999999999,6.420000000000002,DEMOCRAT,0.075,0.027,0.126,0.277,0.494
19165,4.257142857142857,1363.1,2.5,REPUBLICAN,0.099,0.059,0.182,0.145,0.516
19167,3.314285714285714,1658.9099999999999,4.1,REPUBLICAN,0.12,0.06,0.285,0.2,0.335
19169,4.2857142857142865,1096.4699999999998,12.25,DEMOCRAT,0.045,0.075,0.071,0.235,0.574
19171,5.728571428571428,3194.99,172.17000000000004,REPUBLICAN,0.066,0.053,0.209,0.181,0.491
19173,4.371428571428571,1520.94,0.0,REPUBLICAN,0.09,0.151,0.185,0.282,0.292
19175,6.8999999999999995,645.9100000000001,8.19,REPUBLICAN,0.03,0.125,0.172,0.21,0.462
19177,5.614285714285715,436.73,14.209999999999997,REPUBLICAN,0.107,0.128,0.175,0.218,0.372
19179,6.757142857142857,2316.27,88.75999999999996,REPUBLICAN,0.034,0.082,0.293,0.221,0.37
19181,5.428571428571429,944.5400000000001,3.9200000000000017,REPUBLICAN,0.055,0.182,0.181,0.245,0.337
19183,4.871428571428573,1318.2800000000002,49.42,REPUBLICAN,0.035,0.102,0.123,0.151,0.589
19185,5.228571428571428,219.65,15.540000000000003,REPUBLICAN,0.138,0.148,0.252,0.12,0.342
19187,6.0,1819.57,13.96,REPUBLICAN,0.209,0.167,0.161,0.101,0.362
19189,7.7857142857142865,747.47,0.0,REPUBLICAN,0.07,0.329,0.176,0.197,0.228
19191,6.157142857142857,431.20000000000005,17.02,REPUBLICAN,0.122,0.044,0.151,0.177,0.505
19193,6.085714285714286,3471.3599999999997,48.73,REPUBLICAN,0.113,0.165,0.137,0.16,0.425
19195,6.685714285714285,733.6399999999999,0.0,REPUBLICAN,0.072,0.271,0.175,0.231,0.251
19197,4.485714285714285,3557.2299999999996,7.979999999999999,REPUBLICAN,0.172,0.299,0.173,0.125,0.232
20001,5.928571428571429,110.78,0.0,REPUBLICAN,0.153,0.212,0.126,0.167,0.341
20003,4.514285714285714,327.3099999999999,0.0,REPUBLICAN,0.189,0.063,0.137,0.267,0.344
20005,7.771428571428571,363.7,0.0,REPUBLICAN,0.137,0.122,0.169,0.256,0.316
20007,3.628571428571429,90.43999999999997,0.0,REPUBLICAN,0.069,0.147,0.118,0.329,0.336
20009,5.0,386.88999999999993,11.549999999999999,REPUBLICAN,0.107,0.131,0.12,0.211,0.43
20011,6.128571428571428,464.93,6.860000000000001,REPUBLICAN,0.167,0.146,0.077,0.12,0.49
20013,5.171428571428571,292.6400000000001,0.0,REPUBLICAN,0.089,0.149,0.183,0.197,0.382
20015,7.442857142857143,284.47999999999996,0.0,REPUBLICAN,0.053,0.133,0.122,0.222,0.47
20017,5.8999999999999995,265.98,0.0,REPUBLICAN,0.151,0.082,0.212,0.225,0.331
20019,6.357142857142856,153.93,0.0,REPUBLICAN,0.128,0.137,0.185,0.214,0.337
20021,6.000000000000001,351.90000000000003,5.039999999999999,REPUBLICAN,0.131,0.121,0.164,0.174,0.41
20023,2.5714285714285716,75.26,0.0,REPUBLICAN,0.065,0.27,0.174,0.235,0.256
20025,2.3285714285714283,2077.61,50.11999999999999,REPUBLICAN,0.163,0.13,0.126,0.232,0.348
20027,5.014285714285714,279.5799999999999,25.06,REPUBLICAN,0.081,0.069,0.115,0.229,0.507
20029,4.285714285714286,317.19,0.0,REPUBLICAN,0.154,0.077,0.118,0.217,0.434
20031,5.985714285714286,791.2900000000003,112.42,REPUBLICAN,0.085,0.119,0.165,0.404,0.227
20033,3.7571428571428567,176.40000000000003,0.0,REPUBLICAN,0.112,0.144,0.128,0.271,0.346
20035,7.285714285714285,407.1,5.74,REPUBLICAN,0.075,0.093,0.28,0.131,0.421
20037,6.057142857142857,969.1399999999999,2.59,REPUBLICAN,0.108,0.143,0.118,0.139,0.492
20039,4.085714285714285,212.2700000000001,0.0,REPUBLICAN,0.163,0.118,0.211,0.235,0.273
20041,5.585714285714286,225.40999999999997,5.390000000000001,REPUBLICAN,0.106,0.118,0.148,0.243,0.385
20043,5.442857142857143,552.0899999999998,0.0,REPUBLICAN,0.137,0.193,0.184,0.214,0.272
20045,6.785714285714286,508.97999999999985,1.9700000000000002,DEMOCRAT,0.006,0.009,0.024,0.227,0.734
20047,3.1,326.95000000000005,0.0,REPUBLICAN,0.052,0.086,0.135,0.221,0.506
20049,5.471428571428571,39.55,0.0,REPUBLICAN,0.061,0.05,0.295,0.282,0.312
20051,3.9285714285714284,414.7199999999999,3.5,REPUBLICAN,0.154,0.154,0.224,0.148,0.32
20053,3.342857142857143,295.7600000000001,0.0,REPUBLICAN,0.174,0.133,0.133,0.187,0.373
20055,3.657142857142858,4655.449999999999,27.310000000000002,REPUBLICAN,0.166,0.089,0.163,0.239,0.343
20057,3.4857142857142853,6225.89,29.749999999999996,REPUBLICAN,0.143,0.084,0.143,0.232,0.399
20059,5.9,576.6600000000001,3.9200000000000004,REPUBLICAN,0.063,0.06,0.159,0.354,0.364
20061,7.471428571428571,560.0799999999999,3.1500000000000004,REPUBLICAN,0.05,0.068,0.113,0.27,0.499
20063,3.0714285714285716,113.82000000000002,0.0,REPUBLICAN,0.24,0.089,0.234,0.151,0.287
20065,4.5,650.4099999999999,0.0,REPUBLICAN,0.218,0.156,0.247,0.129,0.25
20067,3.8857142857142857,1246.7600000000002,28.0,REPUBLICAN,0.14,0.108,0.15,0.231,0.37
20069,2.3857142857142857,906.6899999999997,0.0,REPUBLICAN,0.158,0.092,0.146,0.24,0.364
20071,1.885714285714286,351.78000000000003,0.0,REPUBLICAN,0.135,0.131,0.181,0.229,0.323
20073,5.928571428571429,241.26999999999998,0.0,REPUBLICAN,0.034,0.079,0.256,0.302,0.33
20075,1.8000000000000003,1613.9699999999998,0.0,REPUBLICAN,0.131,0.095,0.189,0.217,0.368
20077,4.542857142857143,188.37999999999994,0.0,REPUBLICAN,0.079,0.118,0.21,0.193,0.4
20079,6.057142857142857,430.1299999999999,8.63,REPUBLICAN,0.075,0.058,0.121,0.323,0.423
20081,2.5714285714285716,961.2,0.0,REPUBLICAN,0.153,0.107,0.137,0.239,0.364
20083,3.1,662.1899999999998,0.0,REPUBLICAN,0.126,0.075,0.163,0.225,0.412
20085,6.671428571428571,1047.85,7.5600000000000005,REPUBLICAN,0.01,0.116,0.161,0.136,0.577
20087,5.6000000000000005,304.83,0.0,REPUBLICAN,0.026,0.069,0.09,0.182,0.634
20089,3.5285714285714285,272.84,0.0,REPUBLICAN,0.171,0.142,0.087,0.259,0.34
20091,5.800000000000002,776.6299999999999,16.79,DEMOCRAT,0.029,0.019,0.075,0.224,0.654
20093,2.9714285714285715,1434.83,26.04,REPUBLICAN,0.155,0.098,0.172,0.229,0.346
20095,5.714285714285714,101.87999999999998,0.0,REPUBLICAN,0.081,0.212,0.114,0.128,0.464
20097,3.5142857142857147,284.66999999999996,0.0,REPUBLICAN,0.062,0.107,0.128,0.233,0.469
20099,6.071428571428571,591.1,0.0,REPUBLICAN,0.168,0.123,0.091,0.147,0.471
20101,3.1714285714285713,325.7800000000001,0.0,REPUBLICAN,0.197,0.075,0.197,0.204,0.326
20103,6.714285714285715,1711.5700000000004,8.94,REPUBLICAN,0.087,0.135,0.092,0.142,0.544
20105,3.057142857142857,202.52999999999992,0.0,REPUBLICAN,0.171,0.132,0.16,0.163,0.375
20107,8.042857142857143,309.56,0.0,REPUBLICAN,0.14,0.053,0.121,0.285,0.4
20109,2.7142857142857144,71.54,0.0,REPUBLICAN,0.206,0.131,0.194,0.189,0.28
20111,5.257142857142857,1875.0500000000002,27.95,REPUBLICAN,0.113,0.111,0.133,0.3,0.344
20113,3.7428571428571433,453.4099999999999,1.0,REPUBLICAN,0.12,0.065,0.106,0.313,0.396
20115,4.585714285714286,402.39,8.399999999999999,REPUBLICAN,0.101,0.068,0.209,0.279,0.343
20117,3.4714285714285715,83.86,0.0,REPUBLICAN,0.048,0.049,0.233,0.263,0.407
20119,2.957142857142857,1260.9700000000003,0.0,REPUBLICAN,0.164,0.123,0.115,0.235,0.362
20121,5.700000000000001,325.5600000000001,0.0,REPUBLICAN,0.071,0.044,0.095,0.25,0.54
20123,2.7857142857142856,439.6599999999999,0.0,REPUBLICAN,0.173,0.116,0.144,0.18,0.388
20125,7.942857142857143,435.49000000000007,13.05,REPUBLICAN,0.164,0.132,0.102,0.195,0.407
20127,4.371428571428572,129.54,0.0,REPUBLICAN,0.11,0.094,0.148,0.244,0.404
20129,2.9857142857142853,347.7599999999999,77.28,REPUBLICAN,0.12,0.113,0.144,0.218,0.405
20131,3.314285714285714,440.35,0.0,REPUBLICAN,0.035,0.094,0.203,0.236,0.432
20133,6.771428571428571,349.27000000000004,0.0,REPUBLICAN,0.133,0.204,0.12,0.127,0.416
20135,3.657142857142858,181.72,0.0,REPUBLICAN,0.15,0.083,0.199,0.198,0.371
20137,2.742857142857143,470.48,0.0,REPUBLICAN,0.161,0.163,0.177,0.225,0.275
20139,5.785714285714286,225.72000000000003,0.0,REPUBLICAN,0.018,0.09,0.088,0.24,0.564
20141,3.1714285714285713,91.9,0.0,REPUBLICAN,0.174,0.233,0.163,0.136,0.293
20143,4.6571428571428575,515.8899999999996,0.0,REPUBLICAN,0.131,0.117,0.164,0.191,0.396
20145,4.042857142857143,164.43999999999994,0.0,REPUBLICAN,0.053,0.096,0.137,0.217,0.497
20147,3.7714285714285714,832.5799999999999,144.68999999999997,REPUBLICAN,0.15,0.244,0.126,0.19,0.29
20149,4.914285714285714,437.7900000000001,0.0,REPUBLICAN,0.012,0.057,0.145,0.236,0.55
20151,3.9285714285714284,392.87000000000006,0.0,REPUBLICAN,0.02,0.183,0.101,0.309,0.387
20153,2.6714285714285713,0.0,0.0,REPUBLICAN,0.128,0.174,0.209,0.22,0.268
20155,5.928571428571429,362.58000000000004,1.61,REPUBLICAN,0.135,0.077,0.143,0.191,0.454
20157,3.457142857142857,563.8800000000001,0.0,REPUBLICAN,0.183,0.073,0.076,0.295,0.373
20159,4.642857142857143,239.71000000000004,0.0,REPUBLICAN,0.153,0.086,0.11,0.241,0.41
20161,5.514285714285714,585.6899999999999,5.699999999999999,DEMOCRAT,0.03,0.05,0.124,0.261,0.535
20163,4.328571428571428,324.15000000000003,0.0,REPUBLICAN,0.179,0.22,0.218,0.123,0.26
