COUNTYFP,deaths_avg_per_100k,state,state_po,CTYNAME,party_winner_2020,totalvotes_2020,fractionalvotes_2020,party_winner_2016,totalvotes_2016,fractionalvotes_2016,changecolor,_merge,pct_increase,segmentname
46051,1.4289208633093498,SOUTH DAKOTA,SD,GRANT,REPUBLICAN,3745.0,0.6990654205607477,REPUBLICAN,3564.0,0.6683501683501684,#970D03,both,3.071525221057936,Stayed Republican
46057,1.4258771929824583,SOUTH DAKOTA,SD,HAMLIN,REPUBLICAN,3083.0,0.7693804735647097,REPUBLICAN,2762.0,0.7425778421433744,#970D03,both,2.680263142133532,Stayed Republican
38075,1.4257819905213263,NORTH DAKOTA,ND,RENVILLE,REPUBLICAN,1319.0,0.8074298711144806,REPUBLICAN,1293.0,0.7679814385150812,#970D03,both,3.9448432599399452,Stayed Republican
35031,1.4159482758620694,NEW MEXICO,NM,MCKINLEY,DEMOCRAT,26486.0,0.6806992373329306,DEMOCRAT,21703.0,0.625535640234069,#030D97,both,5.516359709886154,Stayed Democrat
38095,1.4158309859154907,NORTH DAKOTA,ND,TOWNER,REPUBLICAN,1174.0,0.706984667802385,REPUBLICAN,1157.0,0.6335350043215212,#970D03,both,7.344966348086379,Stayed Republican
46105,1.3923646723646734,SOUTH DAKOTA,SD,PERKINS,REPUBLICAN,1669.0,0.8394248052726183,REPUBLICAN,1606.0,0.8300124533001245,#970D03,both,0.9412351972493793,Stayed Republican
28099,1.3587527352297637,MISSISSIPPI,MS,NESHOBA,REPUBLICAN,11703.0,0.7109288216696573,REPUBLICAN,10553.0,0.7276603809343315,#970D03,both,-1.6731559264674178,Stayed Republican
38069,1.3552155172413813,NORTH DAKOTA,ND,PIERCE,REPUBLICAN,2128.0,0.7448308270676691,REPUBLICAN,2071.0,0.6938676967648479,#970D03,both,5.0963130302821185,Stayed Republican
22013,1.354622030237586,LOUISIANA,LA,BIENVILLE,REPUBLICAN,7050.0,0.5519148936170213,REPUBLICAN,7005.0,0.5361884368308352,#970D03,both,1.5726456786186116,Stayed Republican
22037,1.348537117903933,LOUISIANA,LA,EAST FELICIANA,REPUBLICAN,10509.0,0.5770292130554763,REPUBLICAN,10042.0,0.5545708026289584,#970D03,both,2.245841042651786,Stayed Republican
13043,1.3424175824175864,GEORGIA,GA,CANDLER,REPUBLICAN,4431.0,0.707063868201309,REPUBLICAN,3763.0,0.7079457879351582,#970D03,both,-0.08819197338492124,Stayed Republican
48323,1.3380610021786534,TEXAS,TX,MAVERICK,DEMOCRAT,15346.0,0.5429427863938485,DEMOCRAT,13588.0,0.7651604356785399,#030D97,both,-22.221764928469135,Stayed Democrat
4001,1.333736501079916,ARIZONA,AZ,APACHE,DEMOCRAT,35172.0,0.6622597520755146,DEMOCRAT,27661.0,0.6175843245001988,#030D97,both,4.467542757531573,Stayed Democrat
19093,1.3306082725060833,IOWA,IA,IDA,REPUBLICAN,3849.0,0.7495453364510263,REPUBLICAN,3612.0,0.7350498338870431,#970D03,both,1.4495502563983131,Stayed Republican
31005,1.328923076923077,NEBRASKA,NE,ARTHUR,REPUBLICAN,284.0,0.9154929577464789,REPUBLICAN,273.0,0.8937728937728938,#970D03,both,2.1720063973585058,Stayed Republican
30071,1.3204601226993884,MONTANA,MT,PHILLIPS,REPUBLICAN,2382.0,0.8127623845507976,REPUBLICAN,2171.0,0.7936434822662367,#970D03,both,1.9118902284560924,Stayed Republican
20033,1.3200498753117196,KANSAS,KS,COMANCHE,REPUBLICAN,916.0,0.8318777292576419,REPUBLICAN,867.0,0.8246828143021915,#970D03,both,0.7194914955450438,Stayed Republican
48105,1.2975710594315253,TEXAS,TX,CROCKETT,REPUBLICAN,1574.0,0.7750952986022872,REPUBLICAN,1395.0,0.7025089605734767,#970D03,both,7.258633802881054,Stayed Republican
48433,1.2917441860465118,TEXAS,TX,STONEWALL,REPUBLICAN,736.0,0.8355978260869565,REPUBLICAN,701.0,0.7917261055634808,#970D03,both,4.387172052347577,Stayed Republican
13289,1.2894805194805175,GEORGIA,GA,TWIGGS,REPUBLICAN,4444.0,0.5333033303330333,REPUBLICAN,4059.0,0.5013550135501355,#970D03,both,3.194831678289789,Stayed Republican
38031,1.2894335511982569,NORTH DAKOTA,ND,FOSTER,REPUBLICAN,1778.0,0.766029246344207,REPUBLICAN,1719.0,0.7219313554392088,#970D03,both,4.409789090499816,Stayed Republican
46041,1.2741968911917116,SOUTH DAKOTA,SD,DEWEY,DEMOCRAT,1966.0,0.5752797558494405,DEMOCRAT,1708.0,0.5199063231850117,#030D97,both,5.537343266442873,Stayed Democrat
46003,1.2727352297592986,SOUTH DAKOTA,SD,AURORA,REPUBLICAN,1405.0,0.7487544483985765,REPUBLICAN,1407.0,0.6922530206112296,#970D03,both,5.65014277873469,Stayed Republican
13273,1.2721336206896554,GEORGIA,GA,TERRELL,DEMOCRAT,4416.0,0.5380434782608695,DEMOCRAT,4189.0,0.5411792790642158,#030D97,both,-0.31358008033463003,Stayed Democrat
48153,1.266202247191011,TEXAS,TX,FLOYD,REPUBLICAN,2039.0,0.7768513977439921,REPUBLICAN,1959.0,0.7524247064828994,#970D03,both,2.442669126109276,Stayed Republican
